Departamento ;Municipio;Agencia_Organizacion;Institucion_donde_se_entrega;Nombre_institucion;Insumo;Unidad_de_medidad; Cantidad_personas ;Disponible ;Entregado;Fecha_de_entrega
Guaviare;San José del Guaviare;OIM;Total Comunidad;;;;400;No;Si;Abril
Guaviare;San José del Guaviare;OIM;Total Hospital;;;;600;No;Si;Abril
Guaviare ;San José del Guaviare;OIM;Total Pendiente entrega a las instituciones;;;;100;No;Si;Abril
La Guajira;Riohacha;World Vision;Total Hospital;;;;5730;Si;No;Mayo
Magdalena;Santa Marta;OIM;Total Hospital;;;;3300;No;Si;Abril
Magdalena;Santa Marta;OIM;Total Institución Pública;;;;3000;No;Si;Abril
Meta;La Macarena;OIM;Total Comunidad;;;;150;No;Si;Abril
Meta;La Macarena;OIM;Total Hospital;;;;250;No;Si;Abril
Meta;La Macarena;OIM;Total Institución Pública;;;;100;No;Si;Abril
Meta;;;Total Comunidad;;;;100;No;Si;Abril
Meta;;;Total Hospital;;;;300;No;Si;Abril
Meta;;;Total Institución Pública;;;;100;No;Si;Abril
Meta;Vistahermosa;OIM;Total Comunidad;;;;150;No;Si;Abril
Meta;Vistahermosa;OIM;Total Hospital;;;;300;No;Si;Abril
Meta;Vistahermosa;OIM;Total Institución Pública;;;;50;No;Si;Abril
Nariño;Ipiales;OIM;Total Albergue;;;;300;No;Si;Abril
Nariño;Ipiales;OIM;Total Hospital;;;;5500;No;Si;Abril
Nariño;Ipiales;OIM;Total Institución Pública;;;;700;No;Si;Abril
Nariño;Ipiales;World Vision;;Total Hospital Civil/IPS Municipal de Primer Nivel;;;5730;Si;No;Mayo
Nariño;Ipiales;;Total Pública;;;;5730;Si;No;Abril
Nariño;Policarpa;OIM;Total Comunidad;;;;50;No;Si;Abril
Nariño;Policarpa;OIM;Total Hospital;;;;450;No;Si;Abril
Nariño;Tumaco;OIM;Total Comunidad;;;;150;No;Si;Abril
Nariño;Tumaco;OIM;Total Hospital;;;;300;No;Si;Abril
Nariño;Tumaco;OIM;Total Institución Pública;;;;50;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;Total Comedor, albergue, geriatrico, centro de salud, fundacion ;;;;2342;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;;;;;;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;Total Comedor, albergue, geriatrico, centro de salud, fundacion ;;;;1424;No;Si;Abril
Norte de Santander;Cúcuta;OIM;Total Albergue;;;;300;No;Si;Abril
Norte de Santander;Cúcuta;OIM;Total Comunidad;;;;2400;No;Si;Abril
Norte de Santander;Cúcuta;OIM;Total Hospital;;;;4000;No;Si;Abril
Norte de Santander;Cúcuta;OIM;Total Institución Pública;;;;1000;No;Si;Abril
Norte de Santander;Cúcuta;World Vision;;Total Instituto Departamental de Salud;;;5730;Si;No;Mayo
Norte de Santander;Cúcuta;World Vision;Total Hospital;;;;5730;Si;No;Mayo
Norte de Santander;Tibú;OIM;Total Comunidad;;;;100;No;Si;Abril
Norte de Santander;Tibú;OIM;Total Hospital;;;;2300;No;Si;Abril
Norte de Santander;Tibú;OIM;Total Institución Pública;;;;50;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;Total Albergue;;;;250;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;Total Comunidad;;;;100;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;;Total ESE HOSPITAL JORGE CRISTO SAHIUM  (proyectado) ;;;2000;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;Total Hospital;;;;4000;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;Total Institución Pública;;;;300;No;Si;Abril
Pendiente entrega a las instituciones y comunidades;Pendiente entrega a las instituciones y comunidades;OIM;;;(en blanco);Afiches;32800;No;Si;Abril
Pendiente entrega a las instituciones y comunidades;Pendiente entrega a las instituciones y comunidades;OIM;Total Pendiente entrega a las instituciones y comunidades;;;;43874;No;Si;Abril
Putumayo;Puerto Asís;OIM;Total Comunidad;;;;200;No;Si;Abril
Putumayo;Puerto Asís;OIM;Total Institución Pública;;;;300;No;Si;Abril
Santander ;Bucaramanga;OIM;Total Albergue;;;;250;No;Si;Abril
Santander ;Bucaramanga;OIM;Total Comunidad;;;;4700;No;Si;Abril
Santander ;Bucaramanga;OIM;Total Hospital;;;;4800;No;Si;Abril
Santander ;Bucaramanga;OIM;Total Institución Pública;;;;550;No;Si;Abril
Santander ;Bucaramanga;OIM;Total Pendiente entrega a las instituciones;;;;200;No;Si;Abril
Tolima ;Ibagué;OIM;Total Institución Pública;;;;2000;No;Si;Abril
Tolima ;Icononzo;OIM;Total Comunidad;;;;200;No;Si;Abril
Tolima ;Icononzo;OIM;Total Hospital;;;;300;No;Si;Abril
Tolima ;Planadas;OIM;Total Comunidad;;;;200;No;Si;Abril
Tolima ;Planadas;OIM;Total Hospital;;;;300;No;Si;Abril
Valle del Cauca;Cali;OIM;Total Comunidad;;;;4450;No;Si;Abril
Valle del Cauca;Cali;OIM;Total Hospital;;;;1400;No;Si;Abril
Vichada;Puerto Carreño;OIM;Total Albergue;;;;350;No;Si;Abril
Vichada;Puerto Carreño;OIM;Total Hospital;;;;1500;No;Si;Abril
Vichada;Puerto Carreño;OIM;Total Institución Pública;;;;1800;No;Si;Abril
Amazonas;Leticia;ACH;;;Máscaras de Alta Eficiencia N95;;200;SI;SI;Mayo
Amazonas;Puerto Nariño;ACH;;;Gel antibacterial;;;SI;SI;Mayo
(en blanco);(en blanco);;Total (en blanco);;;;44430;;;Abril
Otro;Cinco zonas de influencia para atención de población indígena ;;;;;;700;No;No;Abril 
Amazonas;Puerto Nariño;ACH;;;Hipoclorito granulado;;;SI;SI;Mayo
Amazonas;Puerto Nariño;ACH;;;Alcohol;;;SI;SI;Mayo
Amazonas;Puerto Nariño;ACH;;;Máscaras de Alta Eficiencia N95;;200;SI;SI;Mayo
Amazonas;Puerto Nariño;ACH;;;Mascarillas quirúrgicas;;1200;SI;SI;Mayo
Amazonas;Puerto Nariño;ACH;;;Mascarillas quirúrgicas;;1200;SI;SI;Mayo
Amazonas;Puerto Nariño;ACH;;;Mascarillas quirúrgicas;;60;SI;SI;Mayo
Amazonas;Puerto Nariño;ACH;;;Batas desechables;;2140;SI;SI;Mayo
Amazonas;Puerto Nariño;ACH;;;Trajes;;60;SI;SI;Mayo
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;Comedor, albergue, geriatrico, centro de salud, fundacion ;Fundacion nueva ilusion, albergue el progreso, comedor misericordia cada dia, comedor los olivos, asilo san jose, geriatrico rincon de bendicion, geriatrico rejuvenecer, fundacion hoasis, terminal de transporte y geriatrico asilo rudesinsdo soto;Gel antibacterial;galones;364;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Guantes  estériles;unidades;88;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Jabón antiséptico;galones;192;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Mascarillas quirúrgicas;unidades;1530;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Toallas de papel;paquetes;168;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Balde con ruedas;unidades;5;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Bolsas de basura;unidades;150;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Cloro;litros;208;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Desinfectante;litros;100;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Escobas;unidades;8;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Estación lavado de manos;unidades;3;No;Si;Abril
Norte de Santander;(Cúcuta, Villa del Rosario, Tibú);OIM;Secretaría de salud Departamental y Municipal;;;;1;No;No;Mayo
Nariño; (Tumaco, Policarpa);OIM;Secretaría de salud Departamental y Municipal;;;;2;No;No;Mayo
Guajira ;(Fonseca);OIM;Secretaría de salud Departamental y Municipal;;;;1;No;No;Mayo
Putumayo ;(Puerto Asís);OIM;Secretaría de salud Departamental y Municipal;;;;1;No;No;Mayo
Caquetá ;(San Vicente del Caguán, La Montañita);OIM;Secretaría de salud Departamental y Municipal;;;;2;No;No;Mayo
Cauca ;(Caldono, Miranda, Patía, Buenos Aires);OIM;Secretaría de salud Departamental y Municipal;;;;4;No;No;Mayo
Meta ;(Vistahermosa, Mesetas, La Macarena);OIM;Secretaría de salud Departamental y Municipal;;;;3;No;No;Mayo
Tolima ;(Ibagué, Planadas, Icononzo);OIM;Secretaría de salud Departamental y Municipal;;;;2;No;No;Mayo
Antioquia ;(Anorí, Dabeiba, Remedios, Ituango, Vigía del Fuerte);OIM;Secretaría de salud Departamental y Municipal;;;;5;No;No;Mayo
Chocó ;(Riosucio);OIM;Secretaría de salud Departamental y Municipal;;;;1;No;No;Mayo
Cesar ;(la Paz);OIM;Secretaría de salud Departamental y Municipal;;;;1;No;No;Mayo
Córdoba ;(Tierralta);OIM;Secretaría de salud Departamental y Municipal;;;;1;No;No;Mayo
Guaviare ;(San José del Guaviare);OIM;Secretaría de salud Departamental y Municipal;;;;1;No;No;Mayo
Atlántico ;(Barranquilla);OIM;Secretaría de salud Departamental y Municipal;;;;1;No;No;Mayo
Amazonas;Leticia;;Hospital San Rafael de Leticia;;;;;SI;SI;
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Guantes para limpeza;unidades;25;No;Si;Abril
Arauca;Arauquita;OIM;Secretaría de salud Municipal;;;;2;No;No;Mayo
Norte de Santander;(Cúcuta, Villa del Rosario, Tibú);OIM;Secretaría de salud Municipal;;;;2;No;No;Mayo
Nariño; (Tumaco, Policarpa);OIM;Secretaría de salud Municipal;;;;2;No;No;Mayo
Guajira ;(Fonseca);OIM;Secretaría de salud Municipal;;;;2;No;No;Mayo
Putumayo ;(Puerto Asís);OIM;Secretaría de salud Municipal;;;;2;No;No;Mayo
Caquetá ;(San Vicente del Caguán, La Montañita);OIM;Secretaría de salud Municipal;;;;2;No;No;Mayo
Cauca ;(Caldono, Miranda, Patía, Buenos Aires);OIM;Secretaría de salud Municipal;;;;2;No;No;Mayo
Meta ;(Vistahermosa, Mesetas, La Macarena);OIM;Secretaría de salud Municipal;;;;2;No;No;Mayo
Tolima ;(Ibagué, Planadas, Icononzo);OIM;Secretaría de salud Municipal;;;;2;No;No;Mayo
Antioquia ;(Anorí, Dabeiba, Remedios, Ituango, Vigía del Fuerte);;Secretaría de salud Municipal;;;;;No;No;Mayo
Chocó ;(Riosucio);;Secretaría de salud Municipal;;;;;No;No;Mayo
Cesar ;(la Paz);;Secretaría de salud Municipal;;;;;No;No;Mayo
Córdoba ;(Tierralta);;Secretaría de salud Municipal;;;;;No;No;Mayo
Guaviare ;(San José del Guaviare);;Secretaría de salud Municipal;;;;;No;No;Mayo
Arauca;Arauquita;OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;1;No;No;Mayo
Norte de Santander;(Cúcuta, Villa del Rosario, Tibú);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;1;No;No;Mayo
Nariño; (Tumaco, Policarpa);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;2;No;No;Mayo
Guajira ;(Fonseca);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;1;No;No;Mayo
Putumayo ;(Puerto Asís);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;1;No;No;Mayo
Caquetá ;(San Vicente del Caguán, La Montañita);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;2;No;No;Mayo
Cauca ;(Caldono, Miranda, Patía, Buenos Aires);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;4;No;No;Mayo
Meta ;(Vistahermosa, Mesetas, La Macarena);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;3;No;No;Mayo
Tolima ;(Ibagué, Planadas, Icononzo);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;2;No;No;Mayo
Antioquia ;(Anorí, Dabeiba, Remedios, Ituango, Vigía del Fuerte);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;5;No;No;Mayo
Chocó ;(Riosucio);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;1;No;No;Mayo
Cesar ;(la Paz);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;1;No;No;Mayo
Córdoba ;(Tierralta);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;1;No;No;Mayo
Guaviare ;(San José del Guaviare);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;1;No;No;Mayo
Atlántico ;(Barranquilla);OIM;Secretaría de salud Departamental y Municipal;Secretaría de salud Departamental y Municipal;;;1;No;No;Mayo
La Guajira ;Riohacha ;Samaritan's Purse ;Secretaria de Salud ;Secretaria de Salud ;;;1;;SI ;Abril
Cundinamarca;Bogotá;OIM;STAFF OIM;;;;;Si;Si;
Cundinamarca;Bogotá;OIM;STAFF OIM;;;;;Si;Si;
Cundinamarca;Bogotá;OIM;STAFF OIM;;;;;Si;Si;
Cundinamarca;Bogotá;OIM;STAFF OIM;;;;;Si;Si;
Cundinamarca;Bogotá;OIM;STAFF OIM;;;;;Si;Si;
Cundinamarca;Bogotá;OIM;STAFF OIM;;;;;Si;Si;
;;UNICEF;;;;;;;;
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Jabón polvo;kilo;48;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Pañales desechables;unidades;320;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Papel Higiénico;Rollo;100;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Tanques de Basura;unidades;5;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Toallas higiénicas;paquetes;30;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Trapero;unidades;8;No;Si;Abril
Norte de Santander;Cucuta-Los patios- Herran- Ragonvalia - pamplona;CISP - Comitato Internazionale Per Lo Sviluppo Dei Popoli;;;Vinagre;litros;414;No;Si;Abril
Magdalena;Santa Marta;OIM;CRUE departamental;;Profesional en Medicina General (Experiencia en regulación del CRUE);;3;No;No;Mayo
Magdalena;Santa Marta;OIM;CRUE departamental;;Radio - operadores;;3;No;No;Mayo
Magdalena;Santa Marta;OIM;CRUE departamental;;Profesional en Enfermería (para apoyo de gestión);;2;No;No;Mayo
Vichada;Puerto Carreño;OIM;CRUE departamental;;Profesional en Medicina General;;1;No;No;Mayo
Vichada;Puerto Carreño;OIM;CRUE departamental;;Profesional en enfermeria;;1;No;No;Mayo
Amazonas;Leticia;Médicos del Mundo;;;Personal médico triaje;;;SI;SI;Mayo
Amazonas;La Chorrera;MMI;;;Medicamentos;;;SI;SI;Mayo
Amazonas;Leticia;MMI;;;Medicamentos;;;SI;SI;Mayo
Amazonas;Leticia;MMI;;;Apoyo logístico;;;SI;SI;Mayo
Amazonas;Leticia;OIM;;;Termómetro láser;unidades;4;SI;SI;Mayo
Amazonas;Leticia;OIM;;;monogafas;unidades;95;SI;SI;Mayo
Amazonas;Leticia;OIM;;;Mascarillas quirúrgicas;unidades;2000;SI;SI;Mayo
Amazonas;Leticia;OIM;;;Batas desechables;unidades;100;SI;SI;Mayo
Amazonas;Leticia;OIM;;;Gel antibacterial;unidades;4;SI;SI;Mayo
Antioquia;Anorí;OIM;Total Comunidad;Comunidad , ETCR;Mascarillas quirúrgicas;unidades;320;No;Si;Abril
Antioquia;Anorí;OIM;Total Hospital;E.S.E Hospital San Juan de Dios ( 300 para la E.S.E y 50 para las UAIC);Mascarillas quirúrgicas;unidades;160;No;Si;Abril
Antioquia;Anorí;OIM;Total Institución Pública;Alcaldía;Mascarillas quirúrgicas;unidades;320;No;Si;Abril
Antioquia;Bello;OIM;Hospital;ESE Bello salud;Mascarillas quirúrgicas;unidades;1500;No;Si;Abril
Antioquia;Caldas;OIM;Hospital;ESE Hsopital San Vicente de Paul;Mascarillas quirúrgicas;unidades;1500;No;Si;Abril
Antioquia;Copacabana;OIM;Institución Pública;Secretaria de Salud ;Mascarillas quirúrgicas;unidades;850;No;Si;Abril
Antioquia;Envigado;OIM;Institución Pública;Secretaria de Salud ;Mascarillas quirúrgicas;unidades;850;No;Si;Abril
Antioquia;Itagui;OIM;Hospital;ESE hospital del Sur;Mascarillas quirúrgicas;unidades;800;No;Si;Abril
Antioquia;Itagui;OIM;Institución Pública;Secretaria de Salud;Mascarillas quirúrgicas;unidades;800;No;Si;Abril
Antioquia;Ituango;OIM;Comunidad;Comunidad , ETCR;Mascarillas quirúrgicas;unidades;130;No;Si;Abril
Antioquia;Ituango;OIM;Hospital;E.S.E Hospital San Juan de Dios ( 300 para la ESE y 50 para la UAIC Santa Rita);Mascarillas quirúrgicas;unidades;350;No;Si;Abril
Antioquia;Ituango;OIM;Institución Pública;Dirección Local de Salud;Mascarillas quirúrgicas;unidades;20;No;Si;Abril
Antioquia;Medellin;OIM;Albergue;Casa del buen dios;Mascarillas quirúrgicas;unidades;250;No;Si;Abril
Antioquia;Medellin;OIM;;Coorporacion Vive;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Antioquia;Medellin;OIM;;Pastoral social;Mascarillas quirúrgicas;unidades;250;No;Si;Abril
Antioquia;Medellin;OIM;Comunidad;Famicove;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Antioquia;Medellin;OIM;;Red Barrial;Mascarillas quirúrgicas;unidades;200;No;Si;Abril
Antioquia;Medellin;OIM;Institución Pública;Secretaria de participacion-Albergues;Mascarillas quirúrgicas;unidades;2700;No;Si;Abril
Antioquia;Medellín, Itagüi, Bello, Caldas, Envigado, Ituango, Riosucio, Dabeiba, Remedios, Anorí;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;650;No;Si;Abril
Antioquia;Remedios;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Antioquia;Remedios;OIM;;ETCR;Mascarillas quirúrgicas;unidades;150;No;Si;Abril
Antioquia;Remedios;OIM;Hospital;E.S.E. Hospital San Vicente de Paul;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Antioquia;Vigía del Fuerte;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Antioquia;Vigía del Fuerte;OIM;;ETCR;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Antioquia;Vigía del Fuerte;OIM;;UAIC;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Antioquia;Vigía del Fuerte;OIM;Hospital;Hospital;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Antioquia ;Bello;OIM;ESE Bellosalud;;Disposición y dotación (carpas 6x6) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;No;No;Mayo
Antioquia ;Caldas;OIM;Hospital San Vicente Paul;;Disposición y dotación (carpas 6x6) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;No;No;Mayo
Antioquia ;Itagúi;OIM;ESE Hospital del Sur;;Disposición y dotación (carpas 6x6) para entregar a los hospitales para disposición de zona de triage respiratorio.;;2;No;No;Mayo
Arauca;Arauquita;OIM;Secretaría de salud Departamental y Municipal;;Profesional en enfermeria;;1;No;No;Mayo
Arauca ;Araca, Arauquita;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;250;No;Si;Abril
Arauca ;Arauca;OIM;Hospital;ESE Jaime Alvardo y Castilla ;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Arauca ;Arauca;OIM;Hospital;Hospital San Vicente de Arauca ;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
Arauca ;Arauca;OIM;Hospital;Unidad administrativa especial de salud de Arauca ;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Arauca ;Arauca;OIM;Institución Pública;Personería municipal ;Mascarillas quirúrgicas;unidades;250;No;Si;Abril
Arauca ;Arauca ;OIM;ESE Jaime Alvarado y Castilla;;Disposición y dotación (carpas 6x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;4;No;No;Mayo
Arauca ;Arauquita;OIM;Comunidad;ETCR FiLIPINA ;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Arauca ;Arauquita;OIM;Comunidad;Vereda Panamá;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Arauca ;Arauquita;OIM;Comunidad;VeredaLa Paz;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Arauca ;Arauquita;OIM;Hospital;E.S.E Hospital San Lorenzo de Arauquita;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Arauca ;Arauquita;OIM;Hospital;Hospital San Lorenzo de Arauquita ;Mascarillas quirúrgicas;unidades;900;No;Si;Abril
Arauca ;Arauquita;OIM;Hospital;Puesto de Salud Aguachica;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Arauca ;Arauquita;OIM;Hospital;Puesto de Salud El Oasis;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Arauca ;Arauquita;OIM;Institución Pública;Alcaldía municipal de Arauquita - PST;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Arauca ;Arauquita;OIM;Institución Pública;Comisaria de familia municipio de Arauquita ;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
